"config_mistura","tipo_mistura","alpha","repeticao","proporcao_pool","n_real","n_syn","n_total_treino","correlacao","RMSE","MAE","slope_calibracao","media_lambda","sd_lambda"
"lambda_fixo_0.5","fixed",NA,1,0.25,275,828,1103,0.352989566785734,824.543518535669,643.067471026624,0.283824528205498,0.5,0
"lambda_fixo_0.5","fixed",NA,2,0.25,275,828,1103,0.39195055441055,669.453511991256,527.055934138567,0.397555072458692,0.5,0
"lambda_fixo_0.5","fixed",NA,3,0.25,275,828,1103,0.532658501009862,630.198766176492,502.567549147691,0.478512095689179,0.5,0
"lambda_fixo_0.5","fixed",NA,4,0.25,275,828,1103,0.516743168243457,639.164644879177,501.748754421926,0.55196218371849,0.5,0
"lambda_fixo_0.5","fixed",NA,5,0.25,275,828,1103,0.424536858240602,731.80502682372,605.400493272244,0.388851958421088,0.5,0
"lambda_fixo_0.5","fixed",NA,6,0.25,275,828,1103,0.451921030667181,648.581646621391,493.031505794864,0.42139939372912,0.5,0
"lambda_fixo_0.5","fixed",NA,7,0.25,275,828,1103,0.428667075365289,746.119840492773,595.499665757972,0.374298122847377,0.5,0
"lambda_fixo_0.5","fixed",NA,8,0.25,275,828,1103,0.441804737683354,661.805749909835,539.585125211824,0.44201620110348,0.5,0
"lambda_fixo_0.5","fixed",NA,9,0.25,275,828,1103,0.446639617258425,650.384651936217,531.47475292615,0.420561007971785,0.5,0
"lambda_fixo_0.5","fixed",NA,10,0.25,275,828,1103,0.362699157594501,690.795597447736,545.452360768323,0.366745595527426,0.5,0
"lambda_fixo_0.5","fixed",NA,11,0.25,275,828,1103,0.520137096053257,649.927288841794,528.460179393115,0.487755924551177,0.5,0
"lambda_fixo_0.5","fixed",NA,12,0.25,275,828,1103,0.456912019969692,672.843085777502,523.089936344039,0.4335899802179,0.5,0
"lambda_fixo_0.5","fixed",NA,13,0.25,275,828,1103,0.425337958921462,706.095783246801,565.354083700627,0.383316857232234,0.5,0
"lambda_fixo_0.5","fixed",NA,14,0.25,275,828,1103,0.457401715671504,692.277247925826,567.300747669467,0.398141557061544,0.5,0
"lambda_fixo_0.5","fixed",NA,15,0.25,275,828,1103,0.360059539635332,699.159453955271,559.571074899558,0.343561427991136,0.5,0
"lambda_fixo_0.5","fixed",NA,16,0.25,275,828,1103,0.565390041364008,624.002913063834,489.943031699509,0.504485806744835,0.5,0
"lambda_fixo_0.5","fixed",NA,17,0.25,275,828,1103,0.483301195044003,699.922447327047,543.614755429874,0.430925254641256,0.5,0
"lambda_fixo_0.5","fixed",NA,18,0.25,275,828,1103,0.440353783374724,705.422648059461,568.454820436643,0.362516392927395,0.5,0
"lambda_fixo_0.5","fixed",NA,19,0.25,275,828,1103,0.390385501303236,734.58092989208,574.889197733365,0.339979531906697,0.5,0
