"config_mistura","alpha","repeticao","proporcao_pool","n_real","n_syn","n_total_treino","correlacao","RMSE","MAE","slope_calibracao","media_lambda","sd_lambda","seed_da","seed_bglr"
"beta_alpha_population_informed",1.40104090407217,1,0.25,275,828,1103,0.333156062231212,828.167922902118,644.997130906016,0.269971790182113,0.511788696505612,0.246669456969476,322501,332501
"beta_alpha_population_informed",1.40104090407217,2,0.25,275,828,1103,0.441927345197178,632.601798251823,504.3292893104,0.463270916049117,0.517760337924333,0.262458821857706,322502,332502
"beta_alpha_population_informed",1.40104090407217,3,0.25,275,828,1103,0.559935650312195,620.756734584876,501.467246791723,0.490355581358037,0.513965304202026,0.255238177544519,322503,332503
"beta_alpha_population_informed",1.40104090407217,4,0.25,275,828,1103,0.542892575724611,631.684166652483,500.203338999838,0.562189058694476,0.501016324918664,0.259781009798435,322504,332504
"beta_alpha_population_informed",1.40104090407217,5,0.25,275,828,1103,0.41261154987952,742.739724099755,613.015703802059,0.364579579524442,0.507780633825641,0.249319772537758,322505,332505
"beta_alpha_population_informed",1.40104090407217,6,0.25,275,828,1103,0.496699195027255,631.066044831658,503.547180276129,0.447616856836539,0.496188850317142,0.257544514933373,322506,332506
"beta_alpha_population_informed",1.40104090407217,7,0.25,275,828,1103,0.396162078370648,801.341991838587,637.257962602411,0.32197578124338,0.503659968556266,0.258476851889148,322507,332507
"beta_alpha_population_informed",1.40104090407217,8,0.25,275,828,1103,0.447223303778646,649.53662239801,533.714444290594,0.456560608689704,0.487820139537249,0.250047132875379,322508,332508
"beta_alpha_population_informed",1.40104090407217,9,0.25,275,828,1103,0.439489970804577,658.191974946301,526.773214100918,0.409427183619294,0.486127537614308,0.261973137172528,322509,332509
"beta_alpha_population_informed",1.40104090407217,10,0.25,275,828,1103,0.425227314259938,675.013103616034,548.178978470211,0.407603948250387,0.49371227236368,0.259991026107376,322510,332510
"beta_alpha_population_informed",1.40104090407217,11,0.25,275,828,1103,0.461663022308712,669.192770356883,545.566465985142,0.456173093129979,0.50528263101618,0.257798356594669,322511,332511
"beta_alpha_population_informed",1.40104090407217,12,0.25,275,828,1103,0.376972624093499,768.990292430639,598.409964004664,0.316302495461164,0.502339624411759,0.259128102247557,322512,332512
"beta_alpha_population_informed",1.40104090407217,13,0.25,275,828,1103,0.497786560864365,644.175942529656,504.516780237065,0.466423383514724,0.500009132130619,0.254502717150031,322513,332513
"beta_alpha_population_informed",1.40104090407217,14,0.25,275,828,1103,0.428551313318059,708.43032272945,560.227846870601,0.374269396651668,0.497453118542375,0.252079851871332,322514,332514
"beta_alpha_population_informed",1.40104090407217,15,0.25,275,828,1103,0.29078997587068,745.149217345471,603.34930380627,0.270829508240625,0.50781681553636,0.254393855677472,322515,332515
"beta_alpha_population_informed",1.40104090407217,16,0.25,275,828,1103,0.522790066423603,679.27445713489,545.876871367291,0.440957244604875,0.498083908449973,0.252453817406397,322516,332516
"beta_alpha_population_informed",1.40104090407217,17,0.25,275,828,1103,0.49284798502316,692.437559955132,555.751400086072,0.447901640707994,0.503454503100013,0.257719413769381,322517,332517
"beta_alpha_population_informed",1.40104090407217,18,0.25,275,828,1103,0.477330390953197,703.700970990435,562.183996364211,0.380403208471877,0.49600874496849,0.264511889832679,322518,332518
"beta_alpha_population_informed",1.40104090407217,19,0.25,275,828,1103,0.435087112951688,680.162072926539,526.582835801919,0.406008566879013,0.498197510219898,0.252066354459557,322519,332519
"beta_alpha_population_informed",1.40104090407217,20,0.25,275,828,1103,0.549658566601134,619.927055757071,493.878045703631,0.522685068084561,0.509536808965429,0.252782086854052,322520,332520
"beta_alpha_population_informed",1.40104090407217,21,0.25,275,828,1103,0.424607216916379,688.333624204239,550.680449208782,0.403448592129609,0.521171492059834,0.253041704194944,322521,332521
"beta_alpha_population_informed",1.40104090407217,22,0.25,275,828,1103,0.422356136881297,717.495287409121,581.079251110464,0.350416039844066,0.502009840333368,0.255098861714323,322522,332522
"beta_alpha_population_informed",1.40104090407217,23,0.25,275,828,1103,0.30887343899813,771.654136030265,610.02457697139,0.271233655281269,0.480895928680157,0.261281440052739,322523,332523
"beta_alpha_population_informed",1.40104090407217,24,0.25,275,828,1103,0.455309217986653,646.215377150872,498.260236671569,0.435026862767004,0.512582576008154,0.257361189341037,322524,332524
"beta_alpha_population_informed",1.40104090407217,25,0.25,275,828,1103,0.469557526752809,625.027706123097,473.73095084141,0.534767005889883,0.505354439576332,0.256777143675674,322525,332525
"beta_alpha_population_informed",1.40104090407217,26,0.25,275,828,1103,0.31052106851293,723.515292117713,579.961793499012,0.306296272488606,0.492337499714155,0.25262130810737,322526,332526
"beta_alpha_population_informed",1.40104090407217,27,0.25,275,828,1103,0.40601806392635,678.400616145158,531.810272969983,0.398527621923535,0.489115944529581,0.260427411518473,322527,332527
"beta_alpha_population_informed",1.40104090407217,28,0.25,275,828,1103,0.499398044187489,665.359186083604,535.476386938546,0.481225123699172,0.507521716091476,0.249891832401446,322528,332528
"beta_alpha_population_informed",1.40104090407217,29,0.25,275,828,1103,0.452125482889078,662.359316413649,522.803960694451,0.429335712998543,0.492188968282315,0.260396130961676,322529,332529
"beta_alpha_population_informed",1.40104090407217,30,0.25,275,828,1103,0.318103811968267,724.104091550691,565.875632369977,0.295497766835862,0.508639375317608,0.255276033358466,322530,332530
"beta_alpha_population_informed",1.40104090407217,1,0.5,551,552,1103,0.467350993617988,699.632989171048,557.506566811782,0.417290126449309,0.502047518083276,0.253947123623585,325001,335001
"beta_alpha_population_informed",1.40104090407217,2,0.5,551,552,1103,0.427979435029357,712.719890907981,563.40489457779,0.36920632992522,0.513029741685022,0.251703531820491,325002,335002
"beta_alpha_population_informed",1.40104090407217,3,0.5,551,552,1103,0.529244209990699,609.225487178999,481.941967426834,0.505989436847613,0.48207369836877,0.243782479664551,325003,335003
"beta_alpha_population_informed",1.40104090407217,4,0.5,551,552,1103,0.51696582079717,694.430140379357,526.409516090159,0.45893641040458,0.501929482700368,0.253093473255432,325004,335004
"beta_alpha_population_informed",1.40104090407217,5,0.5,551,552,1103,0.407179848516248,764.9419376366,620.260447812861,0.344010601890431,0.479349276428914,0.25336150732592,325005,335005
"beta_alpha_population_informed",1.40104090407217,6,0.5,551,552,1103,0.41921257706642,742.188541598767,570.652107692564,0.326747382186724,0.489643353429381,0.266729167233145,325006,335006
"beta_alpha_population_informed",1.40104090407217,7,0.5,551,552,1103,0.337130305784189,784.291712002813,614.01005082148,0.304225657773802,0.512521801135093,0.259554337539984,325007,335007
"beta_alpha_population_informed",1.40104090407217,8,0.5,551,552,1103,0.466520398336696,660.89218576607,538.810400685082,0.445311851380997,0.488914030041976,0.260312467739189,325008,335008
