repeticao,proporcao_pool,n_treino,n_validacao,correlacao,RMSE,MAE,slope_calibracao
1,0.25,275,276,0.5825895,516.1,414.9098,1.0062726
1,0.5,551,276,0.64271,488.7134,390.5685,1.1346527
1,0.75,827,276,0.6689611,473.398,378.7162,1.0963063
1,1.0,1103,276,0.6710164,470.8602,377.938,1.0348167
2,0.25,275,276,0.5667919,504.0246,405.6958,0.9801001
2,0.5,551,276,0.638047,470.7336,374.624,0.9969675
2,0.75,827,276,0.6606662,458.7012,361.1204,1.0008149
2,1.0,1103,276,0.6901224,442.8886,347.0422,1.0616755
3,0.25,275,276,0.5434701,524.3419,422.1558,0.8224912
3,0.5,551,276,0.6249358,482.0815,384.4479,1.0413583
3,0.75,827,276,0.6943383,442.3568,350.1915,1.0651493
3,1.0,1103,276,0.7185127,428.9685,345.9428,1.0934109
4,0.25,275,276,0.5629644,548.9223,425.6806,1.1353572
4,0.5,551,276,0.6230148,523.723,410.6885,1.180764
4,0.75,827,276,0.6680774,495.1274,388.4419,1.0924751
4,1.0,1103,276,0.6911493,480.8625,377.2943,1.0626516
5,0.25,275,276,0.583416,519.2771,426.1343,1.098404
5,0.5,551,276,0.6292816,496.2011,404.1551,1.0025585
5,0.75,827,276,0.6549029,482.7672,391.6391,0.9904804
5,1.0,1103,276,0.6506474,485.4198,397.3174,0.9722546
6,0.25,275,276,0.4968451,520.1729,413.0102,0.7860217
6,0.5,551,276,0.5944521,477.1123,371.7104,0.9380998
6,0.75,827,276,0.62845,461.1525,364.6773,0.9427006
6,1.0,1103,276,0.6457136,452.4819,357.6207,0.9626907
7,0.25,275,276,0.5448271,543.6014,425.6702,1.144423
7,0.5,551,276,0.6460949,495.372,393.9035,1.1398465
7,0.75,827,276,0.6742896,477.1646,383.7112,1.0881859
7,1.0,1103,276,0.6930886,465.6447,378.6965,1.0774544
8,0.25,275,276,0.5087,545.3421,425.8457,0.8938981
8,0.5,551,276,0.6314999,485.7158,391.746,1.0496029
8,0.75,827,276,0.6653257,467.7997,375.8732,1.031576
8,1.0,1103,276,0.685259,457.2751,366.7633,1.1025746
9,0.25,275,276,0.4880311,532.9994,431.9637,0.738111
9,0.5,551,276,0.5470937,504.2958,419.6405,0.8523789
9,0.75,827,276,0.6123367,474.7493,389.0324,0.9125031
9,1.0,1103,276,0.6384035,462.1377,371.9634,0.9191986
10,0.25,275,276,0.472301,542.8951,427.7563,0.9114943
10,0.5,551,276,0.5744766,503.3944,398.4272,0.9767065
10,0.75,827,276,0.618512,483.3434,381.9654,0.9694712
10,1.0,1103,276,0.632982,476.409,379.2754,0.9527146
11,0.25,275,276,0.5691896,527.4524,409.2884,0.9458218
11,0.5,551,276,0.645971,490.207,381.1017,1.0393066
11,0.75,827,276,0.6853292,467.3178,365.566,1.0393775
11,1.0,1103,276,0.7023386,457.7285,361.0349,1.0871218
12,0.25,275,276,0.5279974,524.3445,404.5014,0.8063401
12,0.5,551,276,0.5731778,507.8778,393.7542,0.8010252
12,0.75,827,276,0.6209504,481.8331,365.8568,0.8727188
12,1.0,1103,276,0.644805,468.0132,361.8134,0.9387744
13,0.25,275,276,0.5347639,526.2147,421.3436,1.1387987
13,0.5,551,276,0.6281723,483.4668,386.7315,1.0497787
13,0.75,827,276,0.6591939,467.2226,371.6304,0.9731854
13,1.0,1103,276,0.6875166,451.1467,356.6754,1.018641
14,0.25,275,276,0.5038379,530.4703,425.5784,0.8750319
14,0.5,551,276,0.5987813,491.654,387.4541,0.9939819
14,0.75,827,276,0.6333628,474.1925,372.8202,0.9640709
14,1.0,1103,276,0.6557275,463.4344,368.6282,0.9179467
15,0.25,275,276,0.4630455,545.9771,431.4344,0.7867506
15,0.5,551,276,0.5625646,500.3283,402.1464,0.894161
15,0.75,827,276,0.5954889,487.0345,392.0746,0.871639
15,1.0,1103,276,0.6199446,475.0638,385.9869,0.8992837
16,0.25,275,276,0.5393197,531.2559,431.5003,1.0351858
16,0.5,551,276,0.6482492,480.9173,385.6594,1.1532499
16,0.75,827,276,0.6712926,466.7257,373.2416,1.0996386
16,1.0,1103,276,0.6948325,452.0073,353.9832,1.0486796
17,0.25,275,276,0.550216,536.6049,414.3094,1.2187479
17,0.5,551,276,0.6177566,502.026,388.3222,1.0814782
17,0.75,827,276,0.663626,479.7981,373.3144,1.1357236
17,1.0,1103,276,0.6774714,470.4971,367.3238,1.0726254
18,0.25,275,276,0.5763153,486.6793,390.002,0.9438927
18,0.5,551,276,0.5932959,483.4575,393.5016,0.8652365
18,0.75,827,276,0.6294652,465.8405,381.2416,0.9029219
18,1.0,1103,276,0.6518687,453.8097,370.5064,0.9045127
19,0.25,275,276,0.524093,529.0135,417.3635,0.8290022
19,0.5,551,276,0.6363497,475.6288,379.7798,0.9690952
19,0.75,827,276,0.6418118,473.7051,374.5312,0.9245401
19,1.0,1103,276,0.6537568,467.0883,365.6612,0.9609353
20,0.25,275,276,0.5787001,523.8625,407.1422,1.1094436
20,0.5,551,276,0.6328653,497.2973,379.8747,1.0933834
20,0.75,827,276,0.6563437,481.4584,367.3656,1.0553918
20,1.0,1103,276,0.6614725,478.6933,365.8016,1.0318919
21,0.25,275,276,0.4969529,542.5537,408.9654,0.9891079
21,0.5,551,276,0.6117049,493.8286,379.0008,1.0250211
21,0.75,827,276,0.6460833,476.4445,367.3666,1.0155738
21,1.0,1103,276,0.6670723,464.9528,358.9159,1.0060556
22,0.25,275,276,0.5932451,482.5654,389.7672,1.0671574
22,0.5,551,276,0.6783035,444.5257,354.34,1.1869081
22,0.75,827,276,0.6718941,444.3859,357.0741,1.0768941
22,1.0,1103,276,0.687521,435.0281,347.0054,1.0206587
23,0.25,275,276,0.4790945,543.8403,432.0682,0.7673764
23,0.5,551,276,0.5424103,515.2234,415.4838,0.9087635
23,0.75,827,276,0.5997329,490.5805,398.1949,0.9418608
23,1.0,1103,276,0.6204726,479.4976,386.6221,0.9741415
24,0.25,275,276,0.5180296,521.1332,408.3752,0.7700455
24,0.5,551,276,0.5641177,497.8388,385.1704,0.8932355
24,0.75,827,276,0.5919575,486.3511,382.6391,0.9144255
24,1.0,1103,276,0.6339379,466.7476,367.5833,0.9498321
25,0.25,275,276,0.4879234,554.5652,434.9246,0.9134901
25,0.5,551,276,0.6133124,500.8936,391.9858,1.0731441
25,0.75,827,276,0.6447451,484.4249,376.4463,1.0214113
25,1.0,1103,276,0.6600989,476.2295,370.4414,1.0543614
26,0.25,275,276,0.4996276,530.8276,416.2126,0.9168777
26,0.5,551,276,0.564075,505.7982,405.3361,0.9371948
26,0.75,827,276,0.589335,496.6724,399.0884,0.8918964
26,1.0,1103,276,0.5998458,492.1916,393.0763,0.9106443
27,0.25,275,276,0.6329708,485.3638,379.8894,1.314049
27,0.5,551,276,0.6678264,462.4168,365.451,1.1979712
