repeticao,proporcao_pool,delta_cor_vs_100,delta_RMSE_vs_100,delta_MAE_vs_100
1,0.25,-0.08842689999999997,45.2398,36.97180000000003
1,0.5,-0.028306399999999954,17.85319999999996,12.630499999999984
1,0.75,-0.002055299999999982,2.5378000000000043,0.7782000000000266
2,0.25,-0.12333050000000001,61.136000000000024,58.65360000000004
2,0.5,-0.052075399999999994,27.845000000000027,27.581800000000044
2,0.75,-0.029456200000000043,15.812599999999975,14.078200000000038
3,0.25,-0.17504260000000005,95.3734,76.21300000000002
3,0.5,-0.09357689999999996,53.113,38.50510000000003
3,0.75,-0.02417440000000004,13.388300000000015,4.248700000000042
4,0.25,-0.12818489999999994,68.05979999999994,48.386300000000006
4,0.5,-0.06813449999999999,42.860499999999945,33.394199999999955
4,0.75,-0.023071899999999923,14.264900000000011,11.147599999999954
5,0.25,-0.06723139999999994,33.85730000000001,28.816899999999976
5,0.5,-0.02136579999999999,10.781299999999987,6.837699999999984
5,0.75,0.004255499999999968,-2.6526000000000067,-5.678300000000036
6,0.25,-0.14886850000000001,67.69100000000003,55.3895
6,0.5,-0.05126149999999996,24.63040000000001,14.089699999999993
6,0.75,-0.017263600000000046,8.670599999999979,7.056600000000003
7,0.25,-0.14826150000000005,77.95670000000001,46.97370000000001
7,0.5,-0.04699370000000003,29.727300000000014,15.206999999999994
7,0.75,-0.01879900000000001,11.519900000000007,5.014700000000005
8,0.25,-0.1765589999999999,88.06699999999995,59.08240000000001
8,0.5,-0.05375909999999995,28.440699999999993,24.982699999999966
8,0.75,-0.01993329999999993,10.524599999999964,9.109899999999982
9,0.25,-0.15037240000000002,70.86170000000004,60.00030000000004
9,0.5,-0.0913098,42.15809999999999,47.677099999999996
9,0.75,-0.026066800000000057,12.61160000000001,17.069000000000017
10,0.25,-0.16068100000000002,66.48609999999996,48.48090000000002
10,0.5,-0.05850540000000004,26.985400000000027,19.151800000000037
10,0.75,-0.014470000000000094,6.934399999999982,2.6899999999999977
11,0.25,-0.13314900000000007,69.72390000000001,48.25350000000003
11,0.5,-0.05636760000000007,32.4785,20.0668
11,0.75,-0.017009400000000063,9.58929999999998,4.531099999999981
12,0.25,-0.11680760000000001,56.331300000000056,42.68799999999999
12,0.5,-0.0716272,39.864599999999996,31.940800000000024
12,0.75,-0.023854599999999948,13.819900000000018,4.04340000000002
13,0.25,-0.15275270000000007,75.06799999999998,64.66819999999996
13,0.5,-0.059344300000000016,32.32009999999997,30.056099999999958
13,0.75,-0.028322700000000034,16.07589999999999,14.954999999999984
14,0.25,-0.15188960000000007,67.03589999999997,56.950199999999995
14,0.5,-0.05694620000000006,28.219600000000014,18.82589999999999
14,0.75,-0.022364700000000015,10.758100000000013,4.192000000000007
15,0.25,-0.15689909999999996,70.91329999999994,45.44749999999999
15,0.5,-0.05737999999999999,25.264499999999998,16.159500000000037
15,0.75,-0.02445569999999997,11.970699999999965,6.087699999999984
16,0.25,-0.1555128,79.24860000000001,77.51709999999997
16,0.5,-0.046583299999999994,28.910000000000025,31.676199999999994
16,0.75,-0.023539899999999947,14.718400000000031,19.258399999999995
17,0.25,-0.1272553999999999,66.10780000000005,46.98559999999998
17,0.5,-0.05971479999999996,31.52890000000002,20.998400000000004
17,0.75,-0.013845399999999897,9.300999999999988,5.990599999999972
18,0.25,-0.07555339999999999,32.86959999999999,19.495600000000024
18,0.5,-0.05857279999999998,29.64779999999996,22.99520000000001
18,0.75,-0.02240350000000002,12.0308,10.73520000000002
19,0.25,-0.1296638,61.92520000000002,51.70229999999998
19,0.5,-0.01740710000000001,8.540500000000009,14.118600000000015
19,0.75,-0.011944999999999983,6.616800000000012,8.870000000000005
20,0.25,-0.08277239999999997,45.16919999999993,41.340599999999995
20,0.5,-0.028607200000000055,18.603999999999985,14.07310000000001
20,0.75,-0.0051288000000000444,2.7650999999999613,1.5639999999999645
21,0.25,-0.17011939999999998,77.60090000000002,50.049499999999966
21,0.5,-0.055367399999999956,28.87579999999997,20.084900000000005
21,0.75,-0.020988999999999924,11.49169999999998,8.450699999999983
22,0.25,-0.09427590000000008,47.537300000000016,42.761799999999994
22,0.5,-0.0092175000000001,9.497599999999977,7.334599999999966
22,0.75,-0.0156269,9.357799999999997,10.068699999999978
23,0.25,-0.14137810000000006,64.34269999999998,45.4461
23,0.5,-0.07806230000000003,35.72579999999999,28.861699999999985
23,0.75,-0.020739700000000028,11.082899999999995,11.57280000000003
24,0.25,-0.11590830000000008,54.38560000000001,40.7919
24,0.5,-0.0698202,31.091200000000015,17.587099999999964
24,0.75,-0.04198040000000003,19.603499999999997,15.055799999999977
25,0.25,-0.17217550000000004,78.33570000000003,64.48320000000001
25,0.5,-0.046786500000000064,24.66410000000002,21.544399999999996
25,0.75,-0.015353800000000084,8.195400000000006,6.0049000000000206
26,0.25,-0.10021819999999998,38.63599999999997,23.136300000000006
26,0.5,-0.03577079999999999,13.606600000000014,12.259799999999984
26,0.75,-0.010510799999999931,4.480799999999988,6.012099999999975
27,0.25,-0.06472040000000001,44.525300000000016,36.047000000000025
27,0.5,-0.029864799999999914,21.578300000000013,21.608600000000024
27,0.75,-0.02446629999999994,14.452099999999973,12.517100000000028
28,0.25,-0.12317279999999997,71.13310000000001,61.8537
28,0.5,-0.04843310000000001,32.173,26.270399999999995
28,0.75,-0.014045399999999986,9.479100000000017,2.3238000000000056
29,0.25,-0.12040829999999991,65.0102,60.54910000000001
29,0.5,-0.017950399999999922,10.543800000000033,14.68950000000001
29,0.75,0.009439600000000103,-5.173399999999958,1.8962000000000216
30,0.25,-0.20876590000000006,78.01589999999999,69.99970000000002
30,0.5,-0.05472980000000005,22.965300000000013,23.197100000000034
30,0.75,-0.00044359999999998845,0.3188999999999851,2.6265999999999963
