config_mistura,proporcao_pool,n_real,n_syn,mean_cor,sd_cor,mean_RMSE,sd_RMSE,mean_MAE,sd_MAE,mean_slope,sd_slope,mean_lambda,mean_sd_lambda,delta_cor_vs_same_real,delta_cor_vs_T100_mean,ic90_inf,ic90_sup,equivalente_T100
beta_alpha_0.1,0.25,275,828,0.4237370414065637,0.06212188209361954,694.8440077445297,52.73711639468355,553.2971826257054,44.217884491699124,0.39830639456444106,0.07621568180077255,0.4971438589994102,0.4570912838044492,-0.10973856192676962,-0.24175047192676963,-0.2855,-0.198,False
beta_alpha_0.1,0.5,551,552,0.44656939671427254,0.06397124957406085,701.7103945441282,44.71301643678084,556.9320949490395,34.662665383388244,0.39337457659339325,0.060812519092407744,0.5047807286541589,0.45643960400204175,-0.16812338995239406,-0.2189181166190608,-0.2664,-0.1714,False
beta_alpha_0.1,0.75,827,276,0.6313280589430269,0.03538086427867285,487.7378521250986,20.954766050971603,386.3878927333825,19.600071979137635,0.8337512751989145,0.07010967878856574,0.4969335086776869,0.4573069170206292,-0.016872087723639795,-0.03415945439030643,-0.0505,-0.0178,False
beta_alpha_0.2,0.25,275,828,0.4398183854605147,0.05964859857289521,685.5431248428164,48.48676004284228,545.2044200243536,42.003239515656134,0.4113337695906944,0.06666344013213248,0.49898458979824156,0.4213174805867211,-0.09365721787281861,-0.22566912787281862,-0.2715,-0.1799,False
beta_alpha_0.2,0.5,551,552,0.45261627737519133,0.061354199172112475,694.0347249327931,40.20441026418048,553.3651329308138,31.285402898422717,0.40212525363625223,0.05585203675700923,0.5033988433897743,0.42153618291006933,-0.16207650929147527,-0.212871235958142,-0.2555,-0.1703,False
beta_alpha_0.2,0.75,827,276,0.631976158951314,0.03551215973862116,486.9749261332267,20.794379269053923,386.1805368995632,19.88897094037525,0.8390917655662652,0.0713019778821035,0.5038883239763464,0.4233076886363179,-0.016223987715352717,-0.033511354382019354,-0.0481,-0.0189,True
beta_alpha_0.4,0.25,275,828,0.42886789740982867,0.0658824821013501,698.9813367980255,54.34687816144828,555.3197292040934,47.285797704506386,0.39489446005351475,0.07260914638329993,0.5034214631112394,0.37106810540151325,-0.10460770592350466,-0.23661961592350467,-0.2834,-0.1898,False
beta_alpha_0.4,0.5,551,552,0.44229429457069824,0.061534206444564435,707.1385080348502,40.74178518414075,562.8522463221129,34.521926979959936,0.3874282928268494,0.05602893924727472,0.49606867751438133,0.37098001198310454,-0.17239849209596836,-0.2231932187626351,-0.2684,-0.1779,False
beta_alpha_0.4,0.75,827,276,0.6331583875049226,0.03515404986384536,486.24634656232985,20.232694216542466,385.3636081338417,18.74676674938299,0.8398562763657513,0.06818668869348007,0.497206415668854,0.3742587413338645,-0.015041759161744106,-0.03232912582841074,-0.0473,-0.0173,True
lambda_fixo_0.5,0.25,275,828,0.43190071565899457,0.06296771788750112,690.6368821262163,48.48786255015816,548.5947461726349,41.58779899565222,0.40383536782444635,0.07090084136547074,0.5,0.0,-0.10157488767433875,-0.23358679767433876,-0.278,-0.1892,False
lambda_fixo_0.5,0.5,551,552,0.4473217013588064,0.06153375561415526,703.8795502663427,41.191840419230004,559.1610644738053,35.130286426488624,0.39190874170599077,0.05831077647917228,0.5,0.0,-0.1673710853078602,-0.21816581197452695,-0.2629,-0.1735,False
lambda_fixo_0.5,0.75,827,276,0.6388641222062377,0.0331168266826639,481.7446506406757,19.268971074140186,381.54743098950024,17.876852845371545,0.859430358566681,0.061165942587357816,0.5,0.0,-0.009336024460429027,-0.026623391127095664,-0.0394,-0.0139,True
